Conference,Year,Filename,Cite Title,Authors,Year,Venue,,,,Corrected Year,"Is Corrected 1£ºGhost, 0:Error"
USENIX,2025,108_Page_2138-2157,An overview on succinct non-interactive zero-knowledge proofs,Li Wei-Han;Zhang Zong-Yang;Zhou Zi-Bo;Yi,2022,Journal of Cryptologic Research,,,,2022,1
NDSS,2025,0000001.pdf,Density-based spatial clustering of applications with noise,M Ester;H.-P Kriegel;J Sander;X Xu,1996,KDD,,,,1996,1
NDSS,2025,0000072.pdf,Wip: Delegation related privacy issues in matter,Z Jin;Y Fang;H Wang;K Chen;Q Liu;L Xing,2024,Workshop on Security and Privacy in Standardized IoT (SDIoTSec) 2024 Program,,,,2024,1
NDSS,2025,0000100.pdf,Logico-combinatorial investigations in the satisfiability or provability of mathematical propositions: a simplified proof of a theorem by l. l?wenheim and generalizations of the theorem,T Skolem,1879,From Frege to G?del. A Source Book in Mathematical Logic,,,,1879,1
NDSS,2025,0000102.pdf,Research on electromagnetic shielding characteristics of switching power supply enclosure based on hole slot design,Z Bai Wanning;L Liu Qiangqiang;Q We,2019,Journal,,,,2019,1
NDSS,2025,0000122.pdf,How to craft effective online privacy policies,Alan Westin,2004,Privacy and American Business,,,,2004,1
NDSS,2025,0000187.pdf,Delegierte Selbstbestimmung? PIMS als Chance und Risiko f¨¹r einen effektiven Datenschutz,J Botta,2021,Multimedia und Recht,,,,2021,1
NDSS,2025,0000187.pdf,Irrweg 'Dateneigentum' -Neue Gro?konzepte als Hemmnis f¨¹r die Nutzung und Kommerzialisierung von Daten,J K¨¹hling;F Sackmann,2020,Zeitschrift f¨¹r Datenschutz,,,,2020,1
NDSS,2025,0000187.pdf,Datentreuh?nderschaft -Status Quo und Entwicklungsperspektiven,M Lindner;S Straub,2023,Federal Ministry for Economic Affairs and Climate Actions,,,,2023,1
NDSS,2025,0000187.pdf,L?sungsoption Datentreuhand: Datennutzbarkeit und Datenschutz zusammen denken,L Specht-Riemenschneider;A Blankertz,2021,Multimedia und Recht,,,,2021,1
NDSS,2024,0000002.pdf,19 Zero-Day Vulnerabilities Amplified by the Supply Chain,M Kol;S Oberman,,JSOF,,,,2023,1
NDSS,2024,0000004.pdf,Deep learning-based malware detection with improved robustness,S Zhang;Y Li;D Yang;Q Wang;Y Liu,2022,Proceedings of the 2022 ACM SIGSAC Conference on Computer and Communications Security (CCS),,,,2022,1
NDSS,2024,0000004.pdf,Adversarial training of deep learning models for malware detection: A case study,H Chen;Q Zhang;Y Liu;Y Liu;X Yin;W Wang,2023,ACM Transactions on Privacy and Security (TOPS),,,,2023,1
NDSS,2024,0000004.pdf,Robustnessand adversarial training for object detection via selfsupervised learning,G Dhillon;J Rajasegaran;P Mookiah;C Lim;S Raman,2022,Proceedings of the 30th ACM International Conference on Multimedia (ICM),,,,2022,1
NDSS,2024,0000015.pdf,"Honeycomb: An Secure, Efficient GPU Execution Environment with Minimal TCB",H Mai;J Zhao;C Kozyrakis;M Gao;H Zheng;Q Li;Z Liu;C Wang;H Cui;X Feng,2023,Proceedings of the 17th USENIX Symposium on Operating Systems Design and Implementation,,,,2023,1
NDSS,2024,0000077.pdf,Publiccheck: Public watermarking verification for deep neural networks,S Wang;S Abuadbba;S Agarwal;K Moore;R Sun;M Xue;S Nepal;S Camtepe;S Kanhere,,44th IEEE Symposium on Security and Privacy,,,,2023,0
NDSS,2024,0000093.pdf,Countermeasures for BadUSB Vulnerability,J Choi,2015,Proceedings of the Conference on Information Security and Cryptology,,,,2015,1
NDSS,2024,0000117.pdf,A survey on privacy-preserving wireless network protocols: techniques and challenges,J Xu;Y Liu;H Shi,2020,IEEE Communications Surveys & Tutorials,,,,2020,1
NDSS,2023,0000013.pdf,Exception handling,,1989,Dependability of Resilient Computers,,,,1989,1
NDSS,2023,0000038.pdf,"RF-weapons for non lethal interference and destruction of communication, information and electronic systems",J Bohl;R Stark;G Wollman,2005,Proceedings of the 3rd European Symposium on Non-Lethal Weapons,,,,2005,1
NDSS,2022,0000070.pdf,Ripple 20: 19 zero-day vulnerabilities amplified by the supply chain,Jsof,2020,Disclosures,,,,2020,1
NDSS,2021,0000086.pdf,"Uiscope: Accurate, instrumentation-free, deterministic and visible attack investigation",R Yang;S Ma;H Xu;X Zhang;Y Chen,2020,NDSS,,,,2020,1
NDSS,2020,0000018.pdf,EXE: A System for Automatically Generating Inputs of Death using Symbolic Execution,C Cadar;V Ganesh;P Pawlowski;D Dill;D Engler,2006,Proceedings of the 13th ACM Conference on Computer and Communications Security (CCS),,,,2006,1
NDSS,2020,0000042.pdf,Global measurement of DNS censorship,P Pearce;B Jones;F Li;R Ensafi;N Feamster;N Weaver;V Paxson,2017,26th USENIX Security Symposium,,,,2017,0
CCS,2025,3719027.3765118,Textfooler: A model-agnostic adversarial text generation approach for text classification,John Morris;Eli Lifland;Jin Yoo;Jake Grigsby;Z Qig,2020,Proceedings of the AAAI Conference on Artificial Intelligence,,,,2020,0
CCS,2024,3658644.3670356, The algebraic group model and its applications,"Georg Fuchsbauer, Eike Kiltz, and Julian Loss.",2018,"In Hovav Shacham and Alexandra Boldyreva, editors, CRYPTO 2018,Part II, I, volume 10992 of LNCS, pages 33¨C62. Springer, Heidelberg, August 2018.",,,,2018,1
CCS,2024,3658644.3690305,Voice in Human-Agent Interaction: A Survey,Katie Seaborn;P Norihisa;Peter Miyake;Mihoko Pennefather;Otake-Matsuura,2021,ACM Comput. Surv,,,,2021,0
CCS,2024,3658644.3690315,Agent-Based Modelling and Simulation for Supply Chain Analysis,Helton Hideraldo;Biscaro Carvalho;Denis Borenstein,2017,Journal of Simulation,,,,2017,1
CCS,2024,3658644.3690364,Blind multisignature schemes and their relevance to electronic voting,P Petersen;M Horster;Michels,1995,11th Annual Computer Security Applications Conference,,,,1995,0
CCS,2024,3658644.3691416,Supporting Trigger-Action Programming in the Smart Home,Jeffrey Huang;Selma Cakmak;Robert Miller,2013,Proceedings of the ACM CHI Conference on Human Factors in Computing Systems,,,,2013,0
CCS,2023,3576915.3616658,Chemins et circuits hamiltoniens des graphes complets,,1959,Comptes Rendus de l'Acad¨¦mie des Sciences de Paris,,,,1959,1
CCS,2023,3576915.3623080,Memory requirements for agreement among unreliable asynchronous processes,C Michael;Hosame H Abu-Amara Loui,1987,Advances in Computing research,,,,1987,1
CCS,2023,3576915.3623090,Using Elyjah to analyse Java implementations of cryptographic protocols,O' Nicholas;Shea,2008,"Joint Workshop on Foundations of Computer Security, Automated Reasoning for Security Protocol Analysis and Issues in the Theory of Security",,,,2008,1
CCS,2023,3576915.3623105,Using Elyjah to analyse Java implementations of cryptographic protocols,N Shea,2008,FCS-ARSPA-WITS-2008,,,,2008,1
CCS,2023,3576915.3623120,Deepip: Deep neural network intellectual property protection with passports,Lixin Fan;Kam Ng;Chee Seng Chan;Qiang Yang,2021,IEEE Transactions on Pattern Analysis & Machine Intelligence,,,,2021,0
CCS,2023,3576915.3623193,Dierentially Private Federated Learning with Local Regularization and Sparsication,Anda Cheng;Peisong Wang;Xi;Sheryl Zhang;Jian Cheng,2022,Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition,,,,2022,
CCS,2023,3576915.3624394,Raccoon: Verifying Race Conditions in Web Applications,S Koch;T Sauer;G Pellegrino;M Johns,2020,ACM Symposium on Applied Computing,,,,2020,0
CCS,2022,3548606.3560597,The value of wechat as a source of information on the covid-19 in china,Xin Chen;Xi Zhou;Huan Li;Jinlan Li;Hua Jiang,2020,Bull World Health Organ,,,,2020,1
CCS,2022,3548606.3563497,Where Covid contract-tracing went wrong,Dyani Lewis,2020,Nature,,,,2020,0
CCS,2021,3460120.3484552,On estimation of the size of the dictionary of a long text on the basis of a sample,A Shlosser,1981,Engineering Cybernetics,,,,1981,1
CCS,2021,3460120.3484823,Fuzzcodealchemisting with code fragments,Christian Holler;Kim Herzig;Andreas Zeller,2012,Presented as part of the 21st USENIX Security Symposium (USENIX Security 12),,,,2012,0
CCS,2020,3372297.3417251,VTint: Defending Virtual Function Tables' Integrity,Chao Zhang;Chengyu Song;Kevin Zhijie;Zhaofeng Chen;Dawn Chen;Song,2015,Proceedings of the 22nd Annual Network and Distributed System Security Symposium (NDSS'15),,,,2015,0
CCS,2020,3372297.3417860,Monotonic protection systems,A Michael;Walter Harrison;Ruzzo,1978,Foundations of Secure Computation,,,,1978,1
CCS,2020,3372297.342,Practical occlusion culling in killzone 3: Will vale -second intention limited -contract r&d for guerrilla bv,Michal Valient,2011,"ACM SIGGRAPH 2011 Talks, SIGGRAPH '11",,,,2011,0
CCS,2020,3372297.342,Best Information is Most Successful -Mutual Information and Success Rate in Side-Channel Analysis,Sylvain Eloi De Ch¨¦risey;Olivier Guilley;Pablo Rioul;Piantanida,2019,IACR Trans. Cryptogr. Hardw. Embed. Syst,,,,2019,0
S&P,2022,9833799,A scalable validator for binary lifters,Sandeep Dasgupta;Sushant Dinesh;Deepan Venkatesh;Christopher Vikram S Adve;Fletcher,2020,Proceedings of the 41st ACM SIGPLAN Conference on Programming Language Design and Implementation,,,,,0
S&P,2022,9833611,"Ben-or, michael and goldwasser, shafi and wigderson, avi",Avi Wigderson;Or;Goldwasser,1988,STOC,,,,,1
S&P,2021,9519416,Technologies to Improve Platform Security,E Brickell,2011,CHES,,,,,1
S&P,2020,9152705,Re: Comments on Ballot Marking Devices usage for the 2018 elections,S Maneki;B Jackson,2017,"Letter to Maryland State Board of Elections, citing SBE data",,,,,1
S&P,2020,9152789,Bmw provides evidence of precise telemetry data in verdict 113 kls 34/15,,,District Court Cologne),,,,,1
S&P,2020,9152789,Eu directive 97/39/ec: Adapting to technical progress council directive 75/443/eec of 26 june 1975 relating to the reverse and speedometer equipment of motor vehicles,,,Official Journal of the European Communities,,,,,1
S&P,2020,9152789,The 10 best-selling electric vehicles in the US this year so far,,,Business Insider,,,,,1
S&P,2020,9152631,How Rowhammer Could Be Used to Exploit Weaknesses in Computer Hardware,M Lanteigne,2016,SEMICON,,,,,1
AAAI,2025,464,Adaptive Value-Targeted Learning,J Oh;M Hessel;H Van Hasselt,2021,Proceedings of the 38th International Conference on Machine Learning (ICML),,,,,0
AAAI,2025,724,DIF-SR: Differential Sequential Recommendation,S Rendle;W Krichene;L Zhang;J Anderson,2019,Conference on Recommender Systems,,,,,1
AAAI,2025,937,"Artificial Intelligence in 1989, reprinted with permission of North-Holland Publishing. It is a revised version of Technical Report CMU-CS-87-115, which has the same title and was prepared in June 1987 while the author was at Carnegie Mellon University. The research was supported by contract N00014-86-K-00167 from the Office of Naval Research and by grant IST-8520359 from the National Science Foundation",G Hinton,1990,Machine Learning,,,,1989,0
AAAI,2025,966,SuRe: Improving Open-domain Question Answering of LLMs via Summarized Retrieval,J Kim;J Nam;S Mo;J Park;S.-W Lee;M Seo;J.-W Ha;J Shin,2023,The Twelfth International Conference on Learning Representations,,,,2024,0
AAAI,2025,1110030,Applications of AI in Industrial Production,Z Taylor;A Smith,2021,IEEE Transactions on Industrial Informatics,,,,,1
AAAI,2025,1110030,Automated Supply Chain Management with AI,S Yao;J Zhao;D Yu;N Du;I Shafran;K Narasimhan;Y Cao;H Zhu;Y Lee;J Ko,2022,React: Synergizing reasoning and acting in language models,,,,,1
AAAI,2025,1110100,Matrix factorization recommender algorithm using trust propagation,Y Acm. Qian,2015,Journal of Chongqing University of Arts and Sciences,,,,,1
AAAI,2025,1110134,Addressing AI Biases in Language Processing,J Smith,2019,Journal of AI Research,,,,,1
AAAI,2025,1110181,Adaptive noise reduction method for sound sources based on acoustic imaging,S Hershey;S Chaudhuri;D Ellis;J Gemmeke;A Jansen;R Moore;M Plakal;D Platt;R Saurous;B Seybold;M Slaney;R Weiss;K Wilson,2017,"IEEE International Conference on Acoustics, Speech and Signal Processing",,,,,1
AAAI,2025,1110260,Efficient Seizure Detection with Wrist-Worn Wearable and Self-Supervised Pretraining,A Spahr;C.-E Bardyn;A Bernini;P Ryvlin,2023,Modern computer algebra,,,,,1
AAAI,2025,1110305,Traditional Denoising Methods in Rendering,M Zwicker,2015,ACM Transactions on Graphics,,,,,1
AAAI,2025,1110422,Generalization Capabilities of VLA Models in Diverse Robotic Tasks,C Brown;D Green,2024,Robotics and Autonomous Systems,,,,,1
AAAI,2025,1110464,Ensemble classification-based vessel segmentation in retinal images using a novel vesselness enhancement method,M Fraz;S Barman;P Remagnino;A Hoppe;A Rudnicka;C Owen,2014,Annals of the British Machine Vision Association,,,,,1
AAAI,2025,1110470,Deep architecture of Kolmogorov-Arnold representation,G.-B Huang;L Zhao;Y Song,2014,IJCNN,,,,,1
AAAI,2025,1110470,Towards theory of deep learning on graphs: Optimization landscape and train ability of Kolmogorov-Arnold representation,G.-B Huang;L Zhao;Y Xing,2017,Neurocomputing,,,,,1
AAAI,2025,1110470,Deep Kolmogorov-Arnold representation for learning dynamics,X Liang;L Zhao;G.-B Huang,2018,Access,,,,,1
AAAI,2025,1110526,Data Privacy in IoT: Challenges and Solutions,D Nguyen,2021,Proceedings of the 2021 Workshop on IoT Security,,,,,1
AAAI,2025,1110788,FB-OCC: Forward-Backward View Transformations for Occupancy Prediction,Z Li;Z Yu;W Wang;A Anandkumar;T Lu;J Alvarez;Q Lian;Y Xu;W Yao;Y Chen;T Zhang,2023,European Conference on Computer Vision,,,,2023,0
AAAI,2025,1110802,Segmentation outside the cranial vault challenge,B Landman;Z Xu;J Igelsias;M Styner;T Langerak;A Klein,2015,MICCAI: multi Atlas labeling beyond cranial vault-workshop challenge,,,,,1
AAAI,2025,1110865,"A comprehensive review on food computational approaches: Models, applications, and challenges",W Min;W Jiang,2019,Trends in Food Science & Technology,,,,,1
AAAI,2025,1110915,Enhancing Accessibility: Conversational Systems for Individuals with Physical Disabilities,A Brown;J Smith,2021,Assistive Technology Journal,,,,,1
AAAI,2025,1110915,The Importance of Emotional Support for Patients with Disabilities,S Davies;M Murphy;G Judd,2021,Disability Studies Quarterly,,,,,1
AAAI,2025,1110915,Doctor's empathic communication and patients' somatization: A randomized controlled trial,E Giroldi;W Veldhuijzen;C Leijten;D Welter;T Van Der Weijden;J Muris;C Van Der Vleuten;A Kester,2019,Journal of Family Practice,,,,,1
AAAI,2025,1110915,Conversational Agents in Daily Living: A Survey,R Johnson;S Davis,2019,Journal of Assistive Technologies,,,,,1
AAAI,2025,1110915,Empowering individuals with disabilities: Perspectives on assistance and support,D Noll;J Mah;L May,2018,International Journal of Environmental Research and Public Health,,,,,1
AAAI,2025,1110915,Communicating empathy in medical interviews,C Rogers;R Farson,1975,The Journal of the American Medical Association,,,,,1
AAAI,2025,1110971,Integrating medical ontologies into clinical decision support systems using knowledge-based AI models,S Chandak;M Barzilai;J Cheng,2021,Journal of Healthcare Informatics Research,,,,,1
AAAI,2025,1110971,Measuring Semantic Similarity in Health Conversations Using BERT,T Chen;D Chen;L Sun,2020,IEEE Journal of Biomedical and Health Informatics,,,,,1
AAAI,2025,1110971,Enhancing Clinical Decision Support Systems with Knowledge-Based AI Models,H Jiang;W Liu;S Gao,2020,IEEE Access,,,,,1
AAAI,2025,1111208,Exponentially Improved Truthful Combinatorial Auctions with Submodular Bidders,S Assadi;S Singla,2019,Proceedings of the Sixtieth Annual IEEE Foundations of Computer Science (FOCS),,,,2020,0
AAAI,2025,1111228,Interpretable machine learning -A Guide for Making Black Box Models Explainable. 2 edition,C Molnar;M Nauta;J Schl?tterer;M Van Keulen;C Seifert,2022,IEEE/CVF Conference on Computer Vision and Pattern Recognition -CVPR 2023,,,,,1
AAAI,2025,1111239,A note on the delta-method for finding variance formulae,R Dorfman,1938,Biometric Bulletin,,,,,1
AAAI,2025,1111284,California new Autobot Law,C Governor,2018,Cal. Bus. & Prof. Code ¡ì,,,,,1
AAAI,2025,1111295,"Communication, Simulation, and Intelligent Agents: Implications of Personal Intelligent Machines for Medical Education",W Clancey,1983,Proceedings of the Eighth International Joint Conference on Artificial Intelligence (IJCAI-83),,,,,1
AAAI,2025,1111328,The connection of chemical constitution and physiological action,A Crum-Brown;T Fraser,1865,Trans R Soc Edinb,,,,,0
AAAI,2025,1111476,Threshold matrices and the state assignment problem for neural nets,A Dewdney,1977,"Proceedings of the 8th SouthEastern Conference on Combinatorics, Graph Theory and Computing",,,,,1
AAAI,2025,1111649,"An analysis of the challenges associated with hallucinations in large models and strategies to mitigate them, with a focus on healthcare applications",R;S Fackler;;;James,2023,Critical Care,,,,,1
AAAI,2025,1111716,Scene Graph to Image Synthesis: Integrating CLIP Guidance with Graph Conditioning in Diffusion Models,R Mishra;A Subramanyam;G Mittal;S Agrawal;A Agarwal;S Mehta;T Marwah,2024,Interactive image generation using scene graphs,,,,,1
AAAI,2025,1111760,Content-aware reference frame selection for efficient video compression,Y Wu;Z Chen;Y Wen;H Huang;H Yuan,2022,IEEE Transactions on Image Processing,,,,,1
AAAI,2025,1112380,Churn prediction using complaints data,J Hadden;A Tiwari;R Roy;D Ruta,2006,"Proceedings of world academy of science, engineering and technology",,,,,1
AAAI,2025,1112425,Towards Robust Test-Time Adaptation for Open-Set Recognition,Z Zhou;D.-C Zhang;Y.-F Li;M.-L Zhang,2023,Journal of Software,,,,,1
AAAI,2024,88,O peremeshchenii mass,L Kantorovich,1958,Doklady Akademii Nauk SSSR,,,,,1
AAAI,2024,124,Automatic Content Extraction (ACE) Program -Task Definitions and Performance Measures,E Hovy;T Mitamura;F Verdejo;J Araki;A Philpot;Acl;S Huang;S Strassel;A Mitchell;Z Song,2013,"Workshop on Events: Definition, Detection, Coreference, and Representation",,,,2004,0
AAAI,2024,144,Strumenti di valutazione di abilit e motivazione allo studio per studenti dagli 8 ai 15 anni,C Cornoldi;R De Beni;C Zamperlin;C Meneghetti,2005,Assessment of the study skills and motivation,,,,2005,0
AAAI,2024,269,Reduction of a game with complete memory to a matrix game,I Romanovskii,1962,Soviet Mathematics,,,,,1
AAAI,2024,350,h-swish: Hybrid Activation Function for Deep Neural Networks,A Howard;M Sandler;G Chu;L.-C Chen;B Chen;M Tan;W Wang;Y Zhu;R Pang;V Vasudevan;Q Le;H Adam,2019,Proceedings of the IEEE Conference on Computer Vision and Pattern Recognition (CVPR),,,,2019,0
AAAI,2024,479,Identifying Critical Regions for Motion Planning using Auto-Generated Saliency Labels with Convolutional Neural Networks,D Molina;K Kumar;S Srivastava,2020,ICRA,,,,2020,0
AAAI,2024,504,La th¨¦orie du jeu et les ¨¦quations int¨¦gralesa noyau sym¨¦trique,E Borel,1921,Comptes rendus de l'Acad¨¦mie des Sciences,,,,,1
AAAI,2024,687,Nonparametric Causal Discovery via Fused Score Regression,G Cheng;J Fan;Y Liao,2019,Proceedings of the International Conference on Machine Learning (ICML),,,,,1
AAAI,2024,1110197,BA-CON.4: The discovery of intrinsic properties,G Bradshaw;P Langley;H Simon,1980,Proceedings of the Third Biennial Conference of the Canadian Society for Computational Studies of Intelligence,,,,,1
AAAI,2024,1110215,An Explorative Study for Federated Learning-based AI Sharing Platform Development Methodology,Y Piao;Y Qiu;B Jeong;K Lee,2023,Proceedings of the 24th International Conference on Electronic Commerce,,,,,1
AAAI,2024,1110259,Appreciation of ouyang xun's" ninety percent palace feels ashamed springs inscription retraces reprint instructions" inscription,Y Qiu,2023,Beauty and Times (Medium),,,,,1
AAAI,2024,1110794,Hierarchical Cross-Modality Disentanglement for Visible-Infrared Person Re-Identification,S Choi;S Lee;Y Kim;T Kim;C Kim;-C,2020,Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition,,,,2019,0
AAAI,2024,1110878,Design considerations for a functional programming language,R Burstall,1977,Proc. Infotech State of the Art Conf. "The Software Revolution",,,,,1
AAAI,2024,1110911,The Identification of the Qualification of Enjoying the Unemployment Insurance in China,F Wang,2001,Journal of Anshan Teachers College,,,,,1
AAAI,2024,1111060,Deductive Software Verification -The KeY Book -From Theory to Practice,W Ahrendt;B Beckert;R Bubel;R H?hnle;P Schmitt,2016,LNCS,,,,,1
AAAI,2024,1111122,Varianceinvariance-covariance regularization for self-supervised learning,A Bardes;J Ponce;Y Lecun,2022,Vicreg,,,,2022,0
AAAI,2024,1111370,Class-Action Lawsuit Filed Against Stability AI,J Lang,2023,"Midjourney, DeviantArt. Cartoon Brew",,,,,1
AAAI,2024,1111390,DUCK: Rumour Detection by Modelling User and Comment Propagation Networks,L Tian;X Zhang;J Lau,2022,NAACL,,,,2022,0
AAAI,2024,1111549,SwAV: Unsupervised Learning of Features by Swapping Across Views,T Bell;M Caron;P Bojanowski;A Joulin;M Douze,1995,European Conference on Computer Vision,,,,,1
AAAI,2024,1111549,Vconv-DAE: 3D shape segmentation via volumetric convolutional autoencoder,K Dovrat,2021,IEEE Transactions on Pattern Analysis and Machine Intelligence,,,,,1
AAAI,2024,1111549,S3DIS: Self-Supervised 3D Scene Representation via Inverse Dynamics,J Huang;Y Hao;W Zhang;Y Liu,2020,Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),,,,,1
AAAI,2024,1111549,Prior3D: Point Cloud Prior for 3D Object Recognition,X Liu;B Li,2020,Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition,,,,,1
AAAI,2024,1111549,"JigSaw: A large-scale, low-cost, and high-accuracy annotation framework for 3D object instance detection",C Qi;W Liu;C Wu;H Su;L Guibas,2018,Proceedings of the IEEE Conference on Computer Vision and Pattern Recognition (CVPR),,,,,1
AAAI,2024,1111549,SeedCon: Unsupervised Point Cloud Object Segmentation with Data-Efficient Seed Consensus,J Sun;Y Wang;W Zhang;Z Zhou;T Kong;L Li,2021,Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),,,,,1
AAAI,2024,1111549,OcCo: Occupancy-aware 3D convolutional networks for indoor/outdoor semantic segmentation,Y Wang,2020,CVPR,,,,,1
AAAI,2024,1111549,Scalable shape retrieval with a family of path-based convolutional neural networks,L Yi;H Su;X Guo;L Guibas,2016,CVPR,,,,,1
AAAI,2024,1111549,Simple view for point cloud recognition,Y Zhang;Z Liu;Y Zhou;H Qi,2020,NeurIPS,,,,,1
AAAI,2024,1111568,AugMix: A Simple Method to Improve Robustness and Uncertainty under Data Shift,D Hendrycks;N Mu;E Cubuk;B Zoph;J Gilmer;B Lakshminarayanan,2020,International Conference on Learning Representations,,,,,1
AAAI,2024,1111605,Towards Robust Test-Time Adaptation for Open-Set Recognition,Z Zhou;D.-C Zhang;Y.-F Li;M.-L Zhang,2023,Journal of Software,,,,,1
AAAI,2023,7,AugMix: A Simple Method to Improve Robustness and Uncertainty under Data Shift,* Hendrycks;D Mu;*;N Cubuk;E Zoph;B Gilmer;J Lakshminarayanan;B,2020,International Conference on Learning Representations,,,,2019,1
AAAI,2023,378,A topological property of real analytic subsets,S Lojasiewicz,1963,Les ¨¦quations aux d¨¦riv¨¦es partielles,,,,,1
AAAI,2023,449,sharpSAT-Counting Models with Advanced Component Caching and Implicit BCP,M Thurley,2006,Proceedings of International Conference on Theory and Applications of Satisfiability Testing (SAT),,,,2006,0
AAAI,2023,518,Apple's "differential privacy" is about collecting your data -but not your data. Wired,K Grauman;T Darrell,2004,CVPR,,,,,1
AAAI,2023,696,AugMix: A Simple Method to Improve Robustness and Uncertainty under Data Shift,D Hendrycks;N Mu;E Cubuk;B Zoph;J Gilmer;B Lakshminarayanan,2020,International Conference on Learning Representations,,,,2020,0
AAAI,2023,764,Is that a boy or a girl? Exploring a neural network's construction of gender,K Rodden,2017,Medium,,,,,1
AAAI,2023,825,Pedagogical value of the body and physical activity in childhood,T D'isanto,2016,Sport Science,,,,,1
AAAI,2023,834,En valteknisk studie. Svenska sp?rsm?l 25,E Phragm¨¦n;L Elkind;E Lackner;M Fern¨¢ndez;N Fisteus;J Val;P Skowron;P,2017,Proceedings of the 31st Conference on Artificial Intelligence (AAAI-2017,,,,,1
AAAI,2023,845,"Communication, Simulation, and Intelligent Agents: Implications of Personal Intelligent Machines for Medical Education",W Clancey,1983,Proceedings of the Eighth International Joint Conference on Artificial Intelligence (IJCAI-83),,,,,1
AAAI,2023,1110335,A Survey on Algorithms for Epidemic Source Identification on Complex Networks [J],C Huang;X Liu;M Deng;Y Zhou;D Bu,2018,Chinese Journal of Computers,,,,,1
AAAI,2023,1110411,Using machine learning to understand racial and socioeconomic differences in knee pain,E Pierson;D Cutler;J Leskovec;S Mullainathan;Z Obermeyer,2019,NBER Machine Learning and Healthcare Conference,,,,,1
AAAI,2023,1110981,Machine sampling from given probability distributions,J Butler,1956,Symposium on Monte Carlo Methods,,,,,1
AAAI,2023,1110989,Optimizing AUC with support vector machine,A Rakotomamonjy,2004,European Conference on Artificial Intelligence Workshop on ROC Curve and AI,,,,,1
AAAI,2022,140,Sales drop in major auto markets during January,C Tayyeba Irum;I Tsapakis;T Cheng;A Bolbol,2020,Journal of Transport Geography,,,,,1
AAAI,2022,351,The use of knowledge in discourse processing: A construction-incrementation model,"Kintsch, W",1988,Psychological Review,,,,1988,0
AAAI,2022,798,Belief function and parametric models (with discussion),G Shafer,1982,J. Roy. Statist. Soc. Ser. B,,,,1982,0
AAAI,2022,1110037,AugMix: A Simple Method to Improve Robustness and Uncertainty under Data Shift,* Hendrycks;D Mu;*;N Cubuk;E Zoph;B Gilmer;J Lakshminarayanan;B Hendrycks;D Zhao;K Basart;S Steinhardt;J Song;D,2020,Natural Adversarial Examples. Conference on Computer Vision and Pattern Recognition,,,,,1
AAAI,2022,1110073,Minimizing the quadratic form on a convex set,E Gilbert,1966,SIAM J. Control,,,,1966,0
AAAI,2022,1110578,Supervising organizational health,J Lyden;W Klingele,2000,Supervision,,,,,1
AAAI,2021,717,Conditional logit analysis of quantitative response models,D Mcfadden,1974,Frontiers in Econometrics,,,,1974,0
