Index,"By clicking ""Yes"" below, you confirm that:
1.You understand that your participation is voluntary.
2.You understand that you may stop the survey and quit at any time without giving a reason.
3.You consent to the anonymous use of your responses for research purposes.",What is your current academic position?,Which research area best describes your work?,How many peer-reviewed papers have you published in your career?,Is English your native language?,"Have you served as a reviewer for top-tier conferences (e.g., USENIX Sec, CCS, S&P, CVPR, NeurIPS) in the last 3 years?",Which stage of paper writing do you find most time-consuming? (Select up to 2).1,How do you typically search for related work?.1,Do you use AI-powered tools for research?.1,Which types of AI-powered tools do you use for research? (Select all that apply).1,"Do you use AI tools specifically for text polishing, grammar checking, or rephrasing?.1","Specifically regarding CITATIONS, how do you use AI tools? (Select all that apply).1","When asking a General LLM (e.g., ChatGPT) to find references, how often do you encounter ""hallucinations"" (non-existent papers)?.1","If an AI tool provides a perfect-looking reference (Title, Author, Year, Venue all look correct), do you still verify it externally?.1",Have you ever cited a paper suggested by AI without reading the full text of that paper?.1,"To what extent do you agree: ""AI tools have made it easier to generate 'Related Work' sections, but harder to ensure citation accuracy."".1",What is your strategy when an AI tool generates a citation with a broken link or DOI?.1,"When adding a citation to your paper, what is your primary source of metadata (title, year, venue)?.1",How often do you verify that a cited paper actually contains the claim you are attributing to it?.1,"If you cannot find the full text of a paper (e.g., paywalled or offline), do you still cite it based on its abstract or title?.1","To what extent do you agree: ""There is pressure to include a high number of references to make the paper look more scholarly."".1","When reviewing a paper, do you explicitly check the Reference section?",What are you looking for when checking references? (Select all that apply),Have you ever clicked on a DOI link in a submission's bibliography to verify the paper exists?,Have you ever suspected a submission contained fake or hallucinated references?,"If you see a citation to a ""Preprint"" or ""ArXiv"" paper, do you verify if it has been published in a peer-reviewed venue?",How do you handle citations to non-English papers in a submission?,"To what extent do you agree: ""The accuracy of the bibliography is as important as the accuracy of the experimental results.""",Do you believe the current peer review process is effective at catching metadata errors in references?,"How serious of an issue do you consider ""hallucinated citations"" (non-existent papers) in the era of AI?",Who is primarily responsible for verifying the authenticity of cited references?,Should conferences deploy automated tools to check for broken DOIs or fake references upon submission?,"To what extent do you agree: ""It is acceptable to cite a paper based on AI summarization without reading the original text.""","Have you ever seen a reference list where the author names were clearly scrambled or incorrect (e.g., order reversed)?",Have you ever seen a reference where the title existed but the venue/year was completely wrong?,"Do you think it is acceptable to cite a ""Technical Report"" if a peer-reviewed version exists?","What is your reaction if you find one incorrect citation (e.g., wrong year) in a paper you are reviewing?","What is your reaction if you find multiple (e.g., >5) incorrect or fake citations?","If you encounter a suspicious or clearly fake reference in a published paper, do you report it?",Have you ever copy-pasted a BibTeX entry from the internet without checking its content?,"To what extent do you agree: ""I meticulously verify every single field (volume, issue, page numbers) of every BibTeX entry I import, ensuring 100% accuracy before submission.""","Do you use tools like ""Semantic Scholar"" or ""ResearchRabbit"" to build your bibliography?"
18,"Yes, I consent to participate.",Master's Student,AI Security,1-5,No,No,Conceptualization; & Technical Description,"Keyword search on Google Scholar/DBLP & Following citations from other papers & Using AI-powered tools (e.g., ChatGPT, Connected Papers)",Yes,"General-purpose LLMs (e.g., ChatGPT, Claude, Gemini) & Coding Assistants (e.g., GitHub Copilot, Cursor)","Yes, for specific difficult paragraphs",None: I do not use AI tools for citation-related tasks (Please do not select other options if this is checked),Occasionally (<20%),Always verify (100%),"Yes, often",Somewhat agree,I assume the paper is a hallucination and discard it immediately,"Google Scholar ""Cite"" button",Every single time,"Yes, if necessary",Somewhat disagree,,,,,,,Strongly agree,Not very effective,Major problem,Authors,"Yes, absolutely",Neutral,No,No,Yes,Mention in minor comments,Reject immediately (Ethical concern),"Yes, I would contact the PC Chairs or Journal Editors","Yes, rarely",Strongly agree,No
19,"Yes, I consent to participate.",Master's Student,Other,1-5,No,No,Literature Search & Review & Formatting References,"Keyword search on Google Scholar/DBLP & Using AI-powered tools (e.g., ChatGPT, Connected Papers)",Yes,"General-purpose LLMs (e.g., ChatGPT, Claude, Gemini)","Yes, for almost every sentence",None: I do not use AI tools for citation-related tasks (Please do not select other options if this is checked),Very Often (>50%),Always verify (100%),"No, never",Strongly agree,I assume the paper is a hallucination and discard it immediately,"Google Scholar ""Cite"" button",Every single time,"Yes, if necessary",Neutral,,,,,,,Neutral,Not very effective,Critical crisis,Authors,"Yes, absolutely",Somewhat agree,No,No,No,Mention in minor comments,Reject immediately (Ethical concern),"Yes, I would contact the PC Chairs or Journal Editors","No, never",Somewhat agree,No
20,"Yes, I consent to participate.",Undergraduate student,AI & Machine Learning,1-5,No,No,Conceptualization; & Technical Description,Keyword search on Google Scholar/DBLP & Following citations from other papers,Yes,"General-purpose LLMs (e.g., ChatGPT, Claude, Gemini) & Coding Assistants (e.g., GitHub Copilot, Cursor)","Yes, for almost every sentence","Formatting: Converting references into specific formats (e.g., BibTeX)",I do not use General LLMs for finding references,Always verify (100%),"No, never",Somewhat disagree,I assume the paper is a hallucination and discard it immediately,Direct export from publisher,Every single time,"No, never",Strongly disagree,,,,,,,Strongly agree,Not very effective,Minor nuisance,Authors,"Yes, absolutely",Somewhat disagree,No,No,Yes,Mention in minor comments,Reject immediately (Ethical concern),"Yes, I would contact the PC Chairs or Journal Editors","No, never",Strongly agree,No
21,"Yes, I consent to participate.",Undergraduate student,Other,0,No,No,Literature Search & Review & Technical Description,"Following citations from other papers & Using AI-powered tools (e.g., ChatGPT, Connected Papers) & Browsing conference proceedings",Yes,"General-purpose LLMs (e.g., ChatGPT, Claude, Gemini) & Coding Assistants (e.g., GitHub Copilot, Cursor)","Yes, for specific difficult paragraphs","Discovery: Asking AI to recommend papers on a specific topic & Gap Filling: ""I need a citation for this statement, please find one.""",Often (20-50%),Only if reading full text,"No, never",Somewhat agree,I ask the AI to provide a different link,Copy from other papers,Only for critical claims,"Yes, if necessary",Somewhat agree,,,,,,,Strongly agree,Somewhat effective,Critical crisis,Authors,"Yes, absolutely",Strongly disagree,Yes,Yes,Yes,Mention in minor comments,Ask for explanation,"Yes, I would contact the authors directly","No, never",Neutral,No
22,"Yes, I consent to participate.",Master's Student,Other,1-5,No,No,Writing the Introduction & Formatting References,Keyword search on Google Scholar/DBLP & Following citations from other papers,No,,,,,,,,,Direct export from publisher,Most of the time,"No, never",Somewhat agree,,,,,,,Somewhat agree,Not very effective,Critical crisis,Authors,"Yes, absolutely",Somewhat disagree,No,No,No,Ask for major revision,Reject immediately (Ethical concern),"Yes, I would contact the PC Chairs or Journal Editors","No, never",Somewhat agree,No
23,"Yes, I consent to participate.",Master's Student,Other,1-5,No,No,Conceptualization; & Technical Description,"Keyword search on Google Scholar/DBLP & Following citations from other papers & Using AI-powered tools (e.g., ChatGPT, Connected Papers)",Yes,"General-purpose LLMs (e.g., ChatGPT, Claude, Gemini) & Coding Assistants (e.g., GitHub Copilot, Cursor)","Yes, for specific difficult paragraphs","Formatting: Converting references into specific formats (e.g., BibTeX) & Gap Filling: ""I need a citation for this statement, please find one.""",Often (20-50%),Only if reading full text,"No, never",Strongly agree,I ask the AI to provide a different link,"Google Scholar ""Cite"" button",Only for critical claims,"Yes, if necessary",Neutral,,,,,,,Neutral,Not very effective,Minor nuisance,Authors,Maybe,Neutral,No,No,Yes,Mention in minor comments,Ask for explanation,"Yes, I would contact the authors directly & Yes, I would contact the PC Chairs or Journal Editors","No, never",Neutral,Yes
24,"Yes, I consent to participate.",Undergraduate student,Other,0,No,No,Conceptualization;,"Following citations from other papers & Using AI-powered tools (e.g., ChatGPT, Connected Papers) & Browsing conference proceedings",Yes,"General-purpose LLMs (e.g., ChatGPT, Claude, Gemini) & Academic search engines (e.g., Elicit, Semantic Scholar) & AI-powered reading tools (e.g., ChatPDF, Humata)","Yes, but only for final proofreading","Formatting: Converting references into specific formats (e.g., BibTeX) & Discovery: Asking AI to recommend papers on a specific topic & Summarization: Asking AI to summarize a paper to decide whether to cite it",Often (20-50%),Always verify (100%),"No, never",Somewhat disagree,I assume the paper exists and try to find it manually,Direct export from publisher,Every single time,"No, never",Somewhat agree,,,,,,,Strongly agree,Not very effective,Major problem,Authors,No,Strongly disagree,Yes,Yes,Yes,Ask for major revision,Ask for explanation,"Yes, I would contact the authors directly & Yes, I would contact the PC Chairs or Journal Editors","No, never",Strongly agree,Yes
25,"Yes, I consent to participate.",Undergraduate student,Software Engineering,0,No,No,Conceptualization; & Technical Description,"Keyword search on Google Scholar/DBLP & Following citations from other papers & Using AI-powered tools (e.g., ChatGPT, Connected Papers)",Yes,"General-purpose LLMs (e.g., ChatGPT, Claude, Gemini)","Yes, for specific difficult paragraphs","Formatting: Converting references into specific formats (e.g., BibTeX) & Discovery: Asking AI to recommend papers on a specific topic",Never,Always verify (100%),"No, never",Somewhat disagree,I assume the paper exists and try to find it manually,"Google Scholar ""Cite"" button",Every single time,"No, never",Somewhat agree,,,,,,,Somewhat agree,Very effective,Minor nuisance,Authors,Maybe,Somewhat disagree,No,No,Yes,Mention in minor comments,Reject immediately (Ethical concern),"Yes, I would contact the PC Chairs or Journal Editors","No, never",Somewhat agree,No
26,"Yes, I consent to participate.",PhD Student,Other,0,No,No,Conceptualization;,Keyword search on Google Scholar/DBLP & Following citations from other papers,No,,,,,,,,,"Google Scholar ""Cite"" button",Every single time,"Yes, if necessary",Somewhat agree,,,,,,,Strongly agree,Somewhat effective,Minor nuisance,Authors,"Yes, absolutely",Strongly disagree,No,No,Yes,Mention in minor comments,Ask for explanation,"Yes, I would contact the authors directly","Yes, rarely",Somewhat agree,No
27,"Yes, I consent to participate.",Undergraduate student,Software Engineering,0,No,No,Conceptualization; & Literature Search & Review,"Keyword search on Google Scholar/DBLP & Following citations from other papers & Using AI-powered tools (e.g., ChatGPT, Connected Papers)",Yes,"General-purpose LLMs (e.g., ChatGPT, Claude, Gemini) & Coding Assistants (e.g., GitHub Copilot, Cursor)","Yes, for specific difficult paragraphs",None: I do not use AI tools for citation-related tasks (Please do not select other options if this is checked),I do not use General LLMs for finding references,Always verify (100%),"No, never",Strongly agree,I assume the paper is a hallucination and discard it immediately,"Google Scholar ""Cite"" button",Rarely,"Yes, if necessary",Strongly agree,,,,,,,Neutral,Not very effective,Critical crisis,AI tool developers,Maybe,Strongly disagree,No,No,Yes,Mention in minor comments,Ask for explanation,"Yes, I would contact the PC Chairs or Journal Editors","No, never",Neutral,No
28,"Yes, I consent to participate.",PhD Student,Other,6-10,No,No,Literature Search & Review,"Keyword search on Google Scholar/DBLP & Following citations from other papers & Using AI-powered tools (e.g., ChatGPT, Connected Papers) & Browsing conference proceedings",Yes,"General-purpose LLMs (e.g., ChatGPT, Claude, Gemini)","No, I trust my own writing more",Discovery: Asking AI to recommend papers on a specific topic,Never,Always verify (100%),"No, never",Somewhat disagree,I assume the paper exists and try to find it manually,Direct export from publisher,Every single time,"No, never",Strongly disagree,,,,,,,Neutral,Not very effective,Minor nuisance,Reviewers,No,Neutral,Yes,Yes,Yes,Reject the paper,Reject immediately (Ethical concern),"Yes, I would contact the authors directly","Yes, often",Strongly agree,Yes
29,"Yes, I consent to participate.",Undergraduate student,Cryptography,0,No,No,Literature Search & Review & Technical Description,Keyword search on Google Scholar/DBLP & Following citations from other papers & Browsing conference proceedings,Yes,"General-purpose LLMs (e.g., ChatGPT, Claude, Gemini) & Coding Assistants (e.g., GitHub Copilot, Cursor)","Yes, for almost every sentence",None: I do not use AI tools for citation-related tasks (Please do not select other options if this is checked),Often (20-50%),Only if reading full text,"No, never",Strongly agree,I assume the paper exists and try to find it manually,Direct export from publisher,Every single time,"No, never",Neutral,,,,,,,Strongly agree,Not very effective,Minor nuisance,Authors,"Yes, absolutely",Somewhat disagree,No,Yes,Yes,Mention in minor comments,Ask for explanation,"No, I would verify it privately but take no action","No, never",Neutral,No
30,"Yes, I consent to participate.",Master's Student,System Security,1-5,No,No,Writing the Introduction,Keyword search on Google Scholar/DBLP & Following citations from other papers,Yes,"General-purpose LLMs (e.g., ChatGPT, Claude, Gemini) & Coding Assistants (e.g., GitHub Copilot, Cursor)","Yes, for specific difficult paragraphs",None: I do not use AI tools for citation-related tasks (Please do not select other options if this is checked),Occasionally (<20%),Always verify (100%),"No, never",Strongly agree,I assume the paper exists and try to find it manually,"Google Scholar ""Cite"" button",Most of the time,"No, never",Strongly agree,,,,,,,Strongly agree,Not very effective,Critical crisis,Authors,"Yes, absolutely",Somewhat disagree,Yes,Yes,Yes,Reject the paper,Reject immediately (Ethical concern),"Yes, I would contact the authors directly & Yes, I would contact the PC Chairs or Journal Editors","Yes, rarely",Somewhat agree,Yes
31,"Yes, I consent to participate.",Faculty (Professor/Lecturer),Network Security,6-10,No,No,Conceptualization; & Writing the Introduction,"Keyword search on Google Scholar/DBLP & Following citations from other papers & Using AI-powered tools (e.g., ChatGPT, Connected Papers) & Browsing conference proceedings",Yes,"General-purpose LLMs (e.g., ChatGPT, Claude, Gemini) & Coding Assistants (e.g., GitHub Copilot, Cursor)","Yes, for specific difficult paragraphs","Formatting: Converting references into specific formats (e.g., BibTeX) & Discovery: Asking AI to recommend papers on a specific topic & Summarization: Asking AI to summarize a paper to decide whether to cite it",Occasionally (<20%),Only if reading full text,"Yes, once or twice",Strongly agree,I assume the paper exists and try to find it manually,Direct export from publisher,Most of the time,"No, never",Neutral,,,,,,,Strongly agree,Somewhat effective,Minor nuisance,Authors,Maybe,Neutral,No,No,Yes,Ask for major revision,Ask for explanation,"Yes, I would contact the PC Chairs or Journal Editors","Yes, rarely",Neutral,No
32,"Yes, I consent to participate.",Master's Student,Other,1-5,No,No,Conceptualization; & Technical Description,Keyword search on Google Scholar/DBLP & Following citations from other papers & Browsing conference proceedings,Yes,"General-purpose LLMs (e.g., ChatGPT, Claude, Gemini)","Yes, but only for final proofreading",None: I do not use AI tools for citation-related tasks (Please do not select other options if this is checked),Often (20-50%),Only if reading full text,"Yes, often",Somewhat agree,I assume the paper exists and try to find it manually,"Google Scholar ""Cite"" button",Every single time,"Yes, often",Somewhat agree,,,,,,,Somewhat agree,Not very effective,Major problem,Authors,"Yes, absolutely",Somewhat disagree,Yes,Yes,Yes,Ask for major revision,Reject immediately (Ethical concern),"Yes, I would contact the authors directly & Yes, I would contact the PC Chairs or Journal Editors","Yes, rarely",Somewhat agree,Yes
